,index,Name,Age,Country,Gender,Salary,Tax,New_Salary,ranking,ID
0,9,Carlos Ruiz,32.75,Mexico,M,45000.0,10%,49500.00000000001,1.0,9
1,3,Alex,32.75,US,U,47000.0,10%,51700.00000000001,2.0,3
2,5,Li Wei,27.0,China,M,51000.0,10%,56100.00000000001,3.0,5
3,0,John Doe,29.0,US,M,55000.0,10%,60500.00000000001,4.0,1
4,1,John Doe,29.0,US,M,55000.0,10%,60500.00000000001,4.0,1
5,4,Maria Garcia,34.0,Spain,F,57600.0,10%,63360.0,5.0,4
6,10,Emily Davis,31.0,US,F,58000.0,10%,63800.00000000001,6.0,10
7,8,Rachel Lee,29.0,US,F,62000.0,20%,68200.0,7.0,8
8,2,Joey Smith,32.75,Canada,F,62000.0,20%,68200.0,7.0,2
9,7,Ahmed Khan,38.0,India,M,68000.0,20%,74800.0,8.0,7
10,6,Mihir Gupta,45.0,India,F,73000.0,20%,80300.0,9.0,6
